Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 4 , 38 , 714 , 2777 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 25 , 100 , 676 , 2654 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 12 , 64 , 739 , 2742 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 15 , 72 , 645 , 2736 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 32 , 119 , 652 , 2630 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 63 , 180 , 842 , 2440 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 20 , 89 , 909 , 2624 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 32 , 110 , 872 , 2567 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 103 , 265 , 793 , 2345 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 65 , 186 , 798 , 2451 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 66 , 183 , 843 , 2448 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 86 , 225 , 813 , 2329 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 40 , 136 , 847 , 2548 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 48 , 152 , 810 , 2507 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 29 , 105 , 908 , 2567 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 16 , 74 , 866 , 2669 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 53 , 164 , 795 , 2481 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 30 , 112 , 841 , 2617 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 84 , 224 , 810 , 2396 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 30 , 109 , 863 , 2595 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0.0001 , 70 , 196 , 853 , 2423 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 43 , 138 , 815 , 2526 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0.8024 , 4 , 2 , 920 , 2801 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 25 , 91 , 884 , 2593 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 70 , 194 , 816 , 2434 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0.0001 , 34 , 108 , 862 , 2577 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 43 , 135 , 856 , 2541 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 82 , 220 , 827 , 2385 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 72 , 200 , 831 , 2383 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 96 , 248 , 746 , 2309 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 71 , 198 , 816 , 2404 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 34 , 119 , 805 , 2587 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 53 , 164 , 807 , 2456 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 65 , 191 , 822 , 2428 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0.2443 , 15 , 26 , 919 , 2745 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 73 , 201 , 759 , 2395 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 102 , 263 , 763 , 2294 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 55 , 166 , 868 , 2464 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 14 , 70 , 883 , 2683 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0.0001 , 20 , 83 , 937 , 2594 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 91 , 239 , 755 , 2350 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 71 , 198 , 783 , 2403 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 66 , 182 , 824 , 2451 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 29 , 111 , 844 , 2613 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 104 , 263 , 763 , 2293 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 65 , 184 , 848 , 2401 , 
