Generated on DKR11 at https://github.com/polgreen/BaeVer/tree/210b1ebd4dfb5639cc9ebc4c0fc59eeb63f5eb20,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 13 , 60 , 11 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0013 , 14 , 53 , 7 , 32 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 11 , 52 , 11 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0074 , 15 , 49 , 10 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0397 , 20 , 52 , 17 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0003 , 20 , 71 , 11 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 11 , 58 , 9 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 12 , 66 , 7 , 38 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 12 , 53 , 9 , 37 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0394 , 19 , 50 , 7 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0267 , 21 , 56 , 15 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0059 , 16 , 52 , 6 , 30 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0055 , 18 , 56 , 8 , 22 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0006 , 12 , 53 , 10 , 32 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 14 , 60 , 6 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 6 , 56 , 9 , 22 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.023 , 23 , 61 , 13 , 39 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0008 , 13 , 55 , 9 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 12 , 57 , 13 , 28 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0093 , 15 , 47 , 6 , 35 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0054 , 17 , 55 , 6 , 32 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0212 , 22 , 59 , 8 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0032 , 18 , 59 , 7 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0004 , 12 , 53 , 7 , 28 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 17 , 72 , 8 , 28 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0006 , 13 , 51 , 3 , 32 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0034 , 20 , 64 , 7 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0067 , 18 , 56 , 7 , 34 , 
